Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
357,"-32,80","40,06",9,0,"-518,8800000000002",143,"486,08000000000015","40,60,35"
334,"7,97","46,11",7,0,"-496,96999999999974",154,"504,94000000000005","40,60,40"
37,"69,83","48,65",6,0,"-145,58999999999997",18,"215,42000000000002","45,50,5"
72,"-22,10","40,28",9,0,"-258,05",29,"235,95","45,50,10"
89,"155,29","51,69",10,0,"-181,73999999999998",46,"337,03000000000003","45,50,15"
97,"74,67","47,42",8,0,"-269,43000000000006",46,"344,1000000000001","45,50,20"
103,"-70,85","43,69",6,0,"-318,2300000000001",45,"247,38","45,50,25"
116,"4,16","46,55",6,0,"-334,5200000000001",54,"338,67999999999995","45,50,30"
106,"-199,10","39,62",7,0,"-402,8100000000002",42,"203,71000000000004","45,50,35"
92,"84,76","53,26",4,0,"-230,32999999999998",49,"315,0899999999999","45,50,40"
128,"-9,95","42,19",9,0,"-342,1099999999999",54,"332,16","45,55,5"
170,"43,93","45,29",8,0,"-379,53999999999996",77,"423,47","45,55,10"
205,"17,69","44,88",8,0,"-423,51",92,"441,19999999999993","45,55,15"
228,"-7,06","46,49",8,0,"-437,6899999999998",106,"430,63000000000005","45,55,20"
215,"-31,66","42,33",7,0,"-417,24000000000007",91,"385,58000000000004","45,55,25"
219,"0,27","47,49",5,0,"-426,03000000000003",104,"426,30000000000024","45,55,30"
198,"-69,25","43,94",8,0,"-418,36",87,"349,11","45,55,35"
187,"43,38","47,06",5,0,"-376,9000000000001",88,"420,2799999999999","45,55,40"
195,"-23,99","45,64",8,0,"-400,7899999999999",89,"376,79999999999995","45,60,5"
271,"72,78","42,07",8,0,"-435,2599999999998",114,"508,04000000000036","45,60,10"
274,"58,52","43,8",8,0,"-466,2200000000001",120,"524,7400000000001","45,60,15"
261,"-16,84","42,91",6,0,"-447,51000000000005",112,"430,6700000000002","45,60,20"
259,"14,59","45,56",11,0,"-461,75999999999993",118,"476,35000000000014","45,60,25"
280,"-22,85","43,21",9,0,"-474,63000000000017",121,"451,78","45,60,30"
253,"-18,36","46,64",8,0,"-436,0099999999999",118,"417,65","45,60,35"
244,"-53,72","41,8",10,0,"-466,3399999999999",102,"412,62000000000023","45,60,40"
20,"117,22",65,4,0,"-66,12",13,"183,34000000000003","50,55,5"
37,"-12,23","32,43",9,0,"-186,48999999999998",12,"174,26000000000002","50,55,10"
46,"11,94","47,83",4,0,"-159,18000000000006",22,"171,12","50,55,15"
69,"-45,07","46,38",7,0,"-229,59000000000006",32,"184,51999999999998","50,55,20"
72,"5,40","47,22",6,0,"-239,86",34,"245,25999999999993","50,55,25"
68,"-46,82","48,53",4,0,"-234,57999999999998",33,"187,76000000000002","50,55,30"
54,"6,43","61,11",3,0,"-183,02",33,"189,45","50,55,35"
80,"-22,03",50,4,0,"-252,55",40,"230,52","50,55,40"
96,"39,21","45,83",8,0,"-305,65",44,"344,85999999999996","50,60,5"
136,"-52,63","38,24",7,0,"-368,9",52,"316,27000000000004","50,60,10"
153,"-59,16","37,91",8,0,"-371,76",58,"312,6000000000001","50,60,15"
147,"-39,85","46,26",11,0,"-357,92999999999995",68,"318,08","50,60,20"
164,"12,18","45,73",7,0,"-350,68",75,"362,86000000000007","50,60,25"
184,"-10,37","45,65",5,0,"-404,6700000000001",84,"394,29999999999995","50,60,30"
162,"0,38",50,6,0,"-389,23999999999995",81,"389,62","50,60,35"
160,"-24,50",50,6,0,"-373,74000000000007",80,"349,23999999999995","50,60,40"
