Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
6398,"-49,28","42,83",16,0,"-675,4",2740,"626,12","5,10,5"
7010,"-48,50","42,41",13,0,"-699,2599999999971",2973,"650,7599999999952","5,10,10"
6919,"-22,63","41,91",13,0,"-673,8699999999968",2900,"651,2399999999966","5,10,15"
6625,"-54,04","40,39",13,0,"-677,6699999999964",2676,"623,6299999999982","5,10,20"
6483,"-41,62","40,69",17,0,"-657,0499999999961",2638,"615,4299999999971","5,10,25"
6362,"-37,38","39,96",17,0,"-644,6799999999986",2542,"607,3","5,10,30"
6156,"-52,82","39,68",16,0,"-642,8499999999971",2443,"590,0299999999963","5,10,35"
6189,"-47,85","39,76",21,0,"-632,6799999999978",2461,"584,8299999999969","5,10,40"
8889,"-104,49","41,01",15,0,"-798,6299999999958",3645,"694,1399999999949","5,15,5"
8899,"-43,11","41,31",15,0,"-765,1899999999966",3676,"722,0799999999971","5,15,10"
8489,"-82,16","39,42",17,0,"-758,7399999999915",3346,"676,58","5,15,15"
7958,"-37,17","38,97",18,0,"-710,89",3101,"673,7199999999941","5,15,20"
7682,"-39,61","38,92",19,0,"-694,2799999999933",2990,"654,6699999999965","5,15,25"
7479,"-84,11","37,61",20,0,"-702,9599999999948",2813,"618,85","5,15,30"
7225,"-76,19","37,4",22,0,"-685,6499999999951",2702,"609,4599999999953","5,15,35"
7191,"-58,06","37,48",18,0,"-682,6699999999952",2695,"624,6099999999964","5,15,40"
9820,"-69,88","40,86",18,0,"-816,8599999999934",4012,"746,9799999999939","5,20,5"
9335,"-45,70","39,29",17,0,"-780,17",3668,"734,4699999999958","5,20,10"
8700,"-42,64","38,61",18,0,"-739,6999999999928",3359,"697,0599999999926","5,20,15"
8195,"-70,85","37,82",19,0,"-726,5999999999924",3099,"655,7499999999944","5,20,20"
7755,"-76,10","37,69",22,0,"-704,0799999999948",2923,"627,9799999999962","5,20,25"
7667,"-56,86","37,15",20,0,"-695,4499999999967",2848,"638,5899999999957","5,20,30"
7477,"-32,45","37,09",24,0,"-676,05",2773,"643,5999999999954","5,20,35"
7231,"-40,06","36,76",25,0,"-666,6599999999958",2658,"626,5999999999971","5,20,40"
10050,"-34,37","40,45",20,0,"-800,6299999999914",4065,"766,2599999999937","5,25,5"
9415,"-74,15","38,59",21,0,"-783,0899999999866",3633,"708,9399999999938","5,25,10"
8714,"-53,34","38,04",19,0,"-741,4699999999915",3315,"688,1299999999947","5,25,15"
8119,"-78,70","37,33",22,0,"-718,9499999999936",3031,"640,2499999999962","5,25,20"
7765,"-42,68","37,41",22,0,"-694,6699999999969",2905,"651,9899999999956","5,25,25"
7594,"-20,13","37,44",24,0,"-672,3099999999951",2843,"652,1799999999955","5,25,30"
7354,"-19,33","37,1",20,0,"-654,7699999999945",2728,"635,4399999999974","5,25,35"
7154,"6,62","38,13",21,0,"-634,3699999999942",2728,"640,99","5,25,40"
10127,"-27,36","40,08",16,0,"-797,0099999999926",4059,"769,6499999999937","5,30,5"
9511,"-68,69","38,26",21,0,"-783,0699999999903",3639,"714,3799999999936","5,30,10"
8663,"-80,98","36,98",24,0,"-743,8199999999919",3204,"662,8399999999948","5,30,15"
8125,"-72,54","37,12",22,0,"-720,3199999999949",3016,"647,7799999999949","5,30,20"
7774,"-26,59","37,27",24,0,"-682,86",2897,"656,2699999999952","5,30,25"
7464,"-10,77","37,22",19,0,"-654,4099999999955",2778,"643,6399999999965","5,30,30"
7174,"1,79","37,61",16,0,"-634,0299999999954",2698,"635,82","5,30,35"
6918,"-0,01","36,47",21,0,"-617,6099999999959",2523,"617,5999999999967","5,30,40"
10275,"-72,89","39,31",17,0,"-814,0599999999927",4039,"741,1699999999923","5,35,5"
9477,"-60,01","37,8",19,0,"-781,3299999999892",3582,"721,3199999999924","5,35,10"
8501,"-81,34","36,57",22,0,"-736,5299999999905",3109,"655,1899999999947","5,35,15"
8027,"-39,58","36,6",25,0,"-700,3799999999922",2938,"660,7999999999946","5,35,20"
