Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
2769,"-0,76","39,51",17,0,"-607,2799999999991",1094,"606,52","5,10,5"
2405,"13,57","37,05",13,0,"-569,0900000000001",891,"582,6599999999995","5,10,10"
2199,"5,64","37,29",15,0,"-539,9899999999996",820,"545,6299999999999","5,10,15"
2061,"42,23","37,17",17,0,"-509,24999999999903",766,"551,48","5,10,20"
1971,"38,04","35,92",12,0,"-497,95999999999947",708,"536,0000000000001","5,10,25"
1899,"4,11","35,81",13,0,"-499,4299999999999",680,"503,5399999999992","5,10,30"
1873,"11,13","35,61",13,0,"-490,5999999999997",667,"501,7299999999992","5,10,35"
1849,"-2,09","35,05",15,0,"-487,8699999999998",648,"485,77999999999906","5,10,40"
2914,"-26,27","36,55",13,0,"-629,4899999999994",1065,"603,2200000000004","5,15,5"
2373,"5,84","36,54",15,0,"-558,4999999999993",867,"564,3399999999998","5,15,10"
2111,"20,43","35,48",13,0,"-527,9299999999992",749,"548,3600000000001","5,15,15"
1967,"3,03","34,98",16,0,"-515,7799999999997",688,"518,8099999999995","5,15,20"
1899,"-5,87","34,33",15,0,"-507,4100000000002",652,"501,5399999999995","5,15,25"
1789,"-20,45","33,76",14,0,"-499,30999999999943",604,"478,85999999999996","5,15,30"
1759,"-32,00","33,83",18,0,"-506,51",595,"474,5100000000001","5,15,35"
1729,"-9,56","34,47",13,0,"-483,09999999999934",596,"473,5399999999998","5,15,40"
2815,"7,62","37,37",14,0,"-606,5299999999992",1052,"614,1500000000005","5,20,5"
2253,"41,47","36,4",13,0,"-528,2099999999997",820,"569,6799999999998","5,20,10"
2011,"7,49","35,16",16,0,"-517,4699999999999",707,"524,9599999999996","5,20,15"
1935,"-12,34","34,11",16,0,"-518,2699999999995",660,"505,9299999999999","5,20,20"
1789,"-30,80","33,87",14,0,"-509,52999999999935",606,"478,73","5,20,25"
1671,"-5,53","34,89",14,0,"-476,36999999999915",583,"470,84000000000015","5,20,30"
1611,"25,59","33,71",17,0,"-453,7400000000003",543,"479,3300000000001","5,20,35"
1601,"9,60","32,42",15,0,"-460,84000000000026",519,"470,44000000000034","5,20,40"
