Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
1077,"108,43","37,6",14,0,"-1606,6199999999976",405,"1715,049999999999","5,10,5"
891,"-9,8","35,47",16,0,"-1514,6200000000006",316,"1504,8200000000018","5,10,10"
829,"-63,37","33,78",21,0,"-1446,8499999999995",280,"1383,4799999999989","5,10,15"
809,"-18,18","34,61",19,0,"-1424,3200000000008",280,"1406,1399999999994","5,10,20"
755,"82,96","35,89",13,0,"-1315,3399999999997",271,"1398,3","5,10,25"
749,"14,95","35,78",17,0,"-1333,5800000000002",268,"1348,5300000000002","5,10,30"
723,"-34,41","34,58",13,0,"-1331,98",250,"1297,5699999999988","5,10,35"
729,"-73,92","33,61",13,0,"-1346,0999999999988",245,"1272,1799999999994","5,10,40"
1015,"43,81","36,16",12,0,"-1616,510000000001",367,"1660,3199999999993","5,15,5"
849,"25,51","34,04",21,0,"-1421,8199999999995",289,"1447,3299999999992","5,15,10"
785,"38,17","34,01",11,0,"-1358,3600000000013",267,"1396,53","5,15,15"
753,"-49,96","34,53",17,0,"-1361,7099999999994",260,"1311,7499999999995","5,15,20"
699,"86,59","34,19",15,0,"-1242,6400000000017",239,"1329,2300000000007","5,15,25"
617,"172,38","34,36",16,0,"-1130,9800000000018",212,"1303,36","5,15,30"
593,"250,77","35,08",14,0,"-1064,6499999999996",208,"1315,4199999999994","5,15,35"
591,"207,63","35,53",11,0,"-1081,83",210,"1289,46","5,15,40"
1001,"-38,16","33,97",18,0,"-1614,9899999999993",340,"1576,8300000000008","5,20,5"
851,"25,77","34,43",19,0,"-1440,0000000000007",293,"1465,77","5,20,10"
759,"-50,91","34,52",17,0,"-1370,4899999999996",262,"1319,5799999999997","5,20,15"
663,"91,18","33,33",18,0,"-1208,5700000000015",221,"1299,7500000000002","5,20,20"
609,"176,54","34,81",16,0,"-1097,7200000000007",212,"1274,2599999999995","5,20,25"
575,"245,28","34,96",14,0,"-1027,82",201,"1273,0999999999997","5,20,30"
541,"230,77","33,83",8,0,"-996,3899999999995",183,"1227,1599999999992","5,20,35"
515,"314,54","34,95",8,0,"-917,4899999999998",180,"1232,03","5,20,40"
1015,"-1,48","32,71",18,0,"-1576,869999999999",332,"1575,3900000000017","5,25,5"
785,"28,37","34,9",13,0,"-1357,9900000000007",274,"1386,3599999999997","5,25,10"
705,"95,28","34,33",15,0,"-1246,5300000000018",242,"1341,8100000000006","5,25,15"
609,"177,53","34,81",16,0,"-1097,2300000000007",212,"1274,7599999999995","5,25,20"
565,"253,28","33,45",14,0,"-1002,1199999999998",189,"1255,4","5,25,25"
541,"292,8","34,2",9,0,"-996,86",185,"1289,66","5,25,30"
500,"265,11","35,2",10,0,"-928,2599999999999",176,"1193,3699999999997","5,25,35"
470,"373,47","36,17",8,0,"-856,71",170,"1230,1800000000003","5,25,40"
993,"-127,78","31,92",21,0,"-1607,289999999999",317,"1479,5099999999998","5,30,5"
783,"49,1","35,5",17,0,"-1343,94",278,"1393,04","5,30,10"
631,"156,02","33,6",16,0,"-1144,570000000002",212,"1300,59","5,30,15"
583,"240,48","34,82",14,0,"-1033,5499999999997",203,"1274,03","5,30,20"
541,"292,8","34,2",9,0,"-996,86",185,"1289,66","5,30,25"
494,"354,9","35,43",10,0,"-901,6899999999999",175,"1256,5900000000001","5,30,30"
458,"287,56","34,93",12,0,"-895,1099999999999",160,"1182,67","5,30,35"
438,"440,51","35,84",9,0,"-768,1299999999997",157,"1208,6400000000003","5,30,40"
1003,"-111,76","31,51",21,0,"-1597,6000000000006",316,"1485,8399999999992","5,35,5"
753,"-19,79","34,66",13,0,"-1340,1800000000003",261,"1320,389999999999","5,35,10"
603,"225,53","34,83",14,0,"-1084,4999999999998",210,"1310,0299999999993","5,35,15"
545,"230,67","33,76",8,0,"-996,6899999999997",184,"1227,3599999999992","5,35,20"
504,"277,31","35,12",10,0,"-922,5099999999999",177,"1199,8199999999997","5,35,25"
460,"284,76","34,78",12,0,"-897,9099999999999",160,"1182,67","5,35,30"
438,"416,49","36,3",10,0,"-777,4699999999997",159,"1193,9600000000003","5,35,35"
418,"330,81","35,89",9,0,"-793,0099999999998",150,"1123,819999999999","5,35,40"
1015,"-92,39","32,12",19,0,"-1610,1900000000019",326,"1517,799999999999","5,40,5"
765,"12,74","33,46",14,0,"-1321,799999999999",256,"1334,5399999999997","5,40,10"
593,"203,58","35,41",11,0,"-1084,73",210,"1288,31","5,40,15"
517,"313,2","34,82",8,0,"-922,2599999999999",180,"1235,46","5,40,20"
470,"378,47","36,6",8,0,"-854,92",172,"1233,3900000000003","5,40,25"
440,"437,64","35,68",9,0,"-769,8899999999996",157,"1207,5300000000004","5,40,30"
422,"335,86","35,55",9,0,"-793,0599999999997",150,"1128,9199999999992","5,40,35"
404,"341,67","34,9",9,0,"-785,1000000000001",141,"1126,7699999999995","5,40,40"
1007,"2,87","31,38",20,0,"-1527,5800000000017",316,"1530,4499999999998","5,45,5"
735,"128,19","34,29",12,0,"-1260,7099999999991",252,"1388,900000000001","5,45,10"
573,"234,77","35,78",10,0,"-1034,5700000000002",205,"1269,34","5,45,15"
514,"333,59","35,99",8,0,"-919,4199999999998",185,"1253,01","5,45,20"
458,"324,83","35,81",13,0,"-857,5599999999996",164,"1182,3900000000006","5,45,25"
432,"315,58","33,56",9,0,"-808,9099999999995",145,"1124,4899999999996","5,45,30"
402,"358,92","35,32",9,0,"-779,77",142,"1138,6899999999996","5,45,35"
394,"332,38","34,77",9,0,"-772,2100000000004",137,"1104,59","5,45,40"
979,"8,83","30,85",12,0,"-1497,1800000000014",302,"1506,0100000000002","5,50,5"
697,"193,24","33,43",12,0,"-1185,3899999999992",233,"1378,6300000000006","5,50,10"
559,"221,68","35,06",9,0,"-1008,5899999999996",196,"1230,2699999999998","5,50,15"
508,"361,92","35,04",8,0,"-902,1499999999999",178,"1264,07","5,50,20"
448,"401,65","36,83",9,0,"-795,6599999999994",165,"1197,3100000000002","5,50,25"
406,"419,48","37,93",9,0,"-745,5299999999997",154,"1165,0099999999998","5,50,30"
406,"125,99","33,5",9,0,"-864,5100000000007",136,"990,5","5,50,35"
404,"280,04","32,43",15,0,"-794,8900000000003",131,"1074,9300000000003","5,50,40"
979,"3,39","31,26",12,0,"-1483,2200000000012",306,"1486,6100000000001","5,55,5"
691,"193,7","33,57",11,0,"-1160,51",232,"1354,210000000001","5,55,10"
555,"236,16","34,59",9,0,"-984,9599999999996",192,"1221,1200000000001","5,55,15"
476,"405,47","36,97",8,0,"-812,1399999999995",176,"1217,6099999999997","5,55,20"
431,"335,35","35,73",9,0,"-813,84",154,"1149,1899999999994","5,55,25"
406,"182,27","33,99",9,0,"-849,2400000000005",138,"1031,5100000000004","5,55,30"
404,"343,13","34,16",9,0,"-758,89",138,"1102,0200000000002","5,55,35"
408,"229,43","30,88",15,0,"-810,87",126,"1040,3000000000002","5,55,40"
973,"31,81","31,45",14,0,"-1477,9900000000002",306,"1509,8","5,60,5"
687,"200,13","32,9",11,0,"-1151,83",226,"1351,9600000000016","5,60,10"
565,"230,67","33,27",10,0,"-990,6099999999997",188,"1221,28","5,60,15"
482,"373,34","35,06",8,0,"-854,0399999999996",169,"1227,3799999999997","5,60,20"
436,"363,59","35,09",9,0,"-779,6800000000004",153,"1143,2699999999993","5,60,25"
422,"333,9","33,41",9,0,"-795,8599999999998",141,"1129,7599999999998","5,60,30"
406,"217,73","31,28",17,0,"-829,9200000000002",127,"1047,65","5,60,35"
400,"316,31","31,5",15,0,"-708,0200000000003",126,"1024,3300000000004","5,60,40"
675,"-19,71","33,63",21,0,"-1315,8699999999992",227,"1296,1599999999994","10,15,5"
571,"-98,07","34,68",10,0,"-1203,1500000000015",198,"1105,0800000000004","10,15,10"
479,"12,64","35,91",16,0,"-1115,700000000001",172,"1128,340000000001","10,15,15"
438,"160,12","37,21",12,0,"-935,4699999999992",163,"1095,5900000000004","10,15,20"
404,"248,64","37,38",11,0,"-876,5699999999993",151,"1125,2100000000007","10,15,25"
396,"280,24","37,88",11,0,"-847,3499999999992",150,"1127,5899999999997","10,15,30"
377,"238,75","35,54",8,0,"-878,6599999999997",134,"1117,41","10,15,35"
352,"249,44","38,35",9,0,"-785,9600000000002",135,"1035,4000000000003","10,15,40"
721,"-37,78","35,23",19,0,"-1355,0099999999995",254,"1317,229999999999","10,20,5"
536,"50,25","36,94",17,0,"-1151,3100000000002",198,"1201,5599999999997","10,20,10"
472,"137,25","35,38",16,0,"-990,4399999999993",167,"1127,6900000000003","10,20,15"
415,"330,22","38,55",11,0,"-868,5599999999991",160,"1198,7799999999995","10,20,20"
424,"160,42","35,61",8,0,"-967,0599999999997",151,"1127,4800000000002","10,20,25"
382,"296,24","36,13",11,0,"-811,9399999999997",138,"1108,180000000001","10,20,30"
363,"324,09","37,47",8,0,"-796,99",136,"1121,0800000000004","10,20,35"
346,"260,89","37,57",8,0,"-799,7399999999998",130,"1060,6299999999997","10,20,40"
697,"73,41","36,01",13,0,"-1260,2900000000002",251,"1333,6999999999996","10,25,5"
542,"147,04","35,61",18,0,"-1090,99",193,"1238,0299999999997","10,25,10"
447,"301,7","37,81",12,0,"-894,3799999999992",169,"1196,0800000000004","10,25,15"
424,"160,42","35,61",8,0,"-967,0599999999997",151,"1127,4800000000002","10,25,20"
386,"249,75","36,27",11,0,"-829,2099999999995",140,"1078,9600000000003","10,25,25"
360,"391,37","36,94",9,0,"-780,3399999999999",133,"1171,7100000000003","10,25,30"
358,"284,65","37,15",13,0,"-812,5300000000002",133,"1097,1799999999996","10,25,35"
336,"320,56","37,8",11,0,"-771,1200000000001",127,"1091,6799999999998","10,25,40"
701,"105,56","36,52",17,0,"-1244,7700000000004",256,"1350,33","10,30,5"
489,"215,05","35,79",14,0,"-974,9599999999995",175,"1190,0100000000004","10,30,10"
437,"239,21","36,61",11,0,"-931,6599999999996",160,"1170,87","10,30,15"
396,"316,12","36,87",11,0,"-806,8399999999996",146,"1122,9600000000012","10,30,20"
364,"371,79","36,81",9,0,"-791,5899999999999",134,"1163,3800000000003","10,30,25"
349,"321,89","36,39",17,0,"-754,9200000000002",127,"1076,81","10,30,30"
340,"334,43","37,65",9,0,"-772,3199999999998",128,"1106,7499999999995","10,30,35"
323,"245,1","34,37",11,0,"-762,3499999999995",111,"1007,4500000000006","10,30,40"
677,"2,08","34,42",13,0,"-1263,9000000000005",233,"1265,979999999999","10,35,5"
487,"110,09","36,76",14,0,"-1029,2099999999998",179,"1139,3000000000006","10,35,10"
423,"227,67","34,99",8,0,"-924,23",148,"1151,9000000000005","10,35,15"
375,"320,21","37,07",8,0,"-820,2199999999999",139,"1140,4300000000007","10,35,20"
358,"274,56","36,87",13,0,"-812,7500000000001",132,"1087,3099999999997","10,35,25"
344,"335,15","37,5",9,0,"-773,93",129,"1109,0799999999997","10,35,30"
310,"289,64","36,77",11,0,"-751,9299999999997",114,"1041,5700000000002","10,35,35"
304,"245,75","37,17",9,0,"-737,7000000000002",113,"983,4500000000005","10,35,40"
673,"-71,07","34,32",12,0,"-1303,5299999999993",231,"1232,4599999999996","10,40,5"
457,"257,77","36,32",11,0,"-912,3000000000003",166,"1170,07","10,40,10"
400,"290,5",38,10,0,"-841,2000000000002",152,"1131,7000000000005","10,40,15"
366,"226,02","37,16",8,0,-837,136,"1063,0199999999995","10,40,20"
342,"346,22","37,43",11,0,"-761,2900000000002",128,"1107,51","10,40,25"
324,"247,83","34,57",11,0,"-762,3499999999995",112,"1010,1800000000006","10,40,30"
306,"244,3","36,93",9,0,"-741,1800000000002",113,"985,4800000000005","10,40,35"
285,"408,48","36,49",8,0,"-635,5399999999997",104,"1044,02","10,40,40"
647,"196,18","35,39",12,0,"-1158,1999999999994",229,"1354,38","10,45,5"
447,"288,72","36,02",8,0,"-886,98",161,"1175,7000000000003","10,45,10"
393,"197,43","37,66",10,0,"-879,4700000000003",148,"1076,9000000000003","10,45,15"
338,"295,65","39,35",11,0,"-781,6899999999998",133,"1077,3399999999995","10,45,20"
332,"263,58","37,05",9,0,"-796,7199999999999",123,"1060,3000000000002","10,45,25"
316,"281,77","34,81",11,0,"-720,6700000000001",110,"1002,4400000000005","10,45,30"
296,"297,06","36,49",9,0,"-709,0799999999998",108,"1006,1400000000006","10,45,35"
278,"434,68","37,05",7,0,"-600,4699999999998",103,"1035,15","10,45,40"
629,"238,54","34,18",12,0,"-1119,9599999999991",215,"1358,500000000001","10,50,5"
453,"282,95","36,2",8,0,"-844,4099999999993",164,"1127,36","10,50,10"
384,"405,28","38,28",9,0,"-779,5600000000002",147,"1184,840000000001","10,50,15"
336,"353,21","38,39",13,0,"-734,7800000000002",129,"1087,99","10,50,20"
315,"352,1","35,87",11,0,"-716,3299999999995",113,"1068,430000000001","10,50,25"
312,"308,3","34,94",11,0,"-723,9399999999997",109,"1032,2400000000005","10,50,30"
264,"428,64","37,12",8,0,"-586,4399999999999",98,"1015,0799999999998","10,50,35"
266,"459,72","36,09",8,0,"-595,4499999999997",96,"1055,1700000000003","10,50,40"
619,"246,25","34,57",11,0,"-1095,1600000000003",214,"1341,410000000001","10,55,5"
456,"327,04","37,5",8,0,"-880,3699999999993",171,"1207,410000000001","10,55,10"
352,"295,92","38,07",8,0,"-788,5599999999997",134,"1084,4799999999998","10,55,15"
334,"291,63","37,13",13,0,"-766,4000000000004",124,"1058,0300000000002","10,55,20"
322,"356,51","36,02",11,0,"-693,0499999999995",116,"1049,5600000000006","10,55,25"
292,"310,42","34,25",9,0,"-686,2599999999995",100,"996,68","10,55,30"
270,"423,37","37,04",8,0,"-612,3599999999994",100,"1035,7300000000002","10,55,35"
254,"234,96","35,04",8,0,"-675,4999999999998",89,"910,4599999999996","10,55,40"
621,"72,58","33,17",11,0,"-1168,72",206,"1241,3000000000018","10,60,5"
442,"326,15","36,2",13,0,"-867,6999999999996",160,"1193,8500000000008","10,60,10"
356,"372,13","39,33",8,0,"-729,65",140,"1101,7799999999995","10,60,15"
326,"202,36","35,89",15,0,"-790,9599999999999",117,"993,3199999999998","10,60,20"
321,"352,11","34,89",11,0,"-688,43",112,"1040,5400000000004","10,60,25"
284,"371,92","37,32",9,0,"-623,9999999999999",106,"995,9200000000001","10,60,30"
278,"230,25","36,33",8,0,"-713,4499999999996",101,"943,7000000000002","10,60,35"
268,"343,41","33,58",10,0,"-619,2500000000001",90,"962,6599999999996","10,60,40"
480,"-22,88","35,21",11,0,"-1074,6600000000003",169,"1051,7799999999997","15,20,5"
369,"183,58","36,59",11,0,"-847,55",135,"1031,1300000000003","15,20,10"
323,"69,14","38,7",11,0,"-917,0399999999997",125,"986,1800000000002","15,20,15"
302,"155,74","38,41",10,0,"-828,9899999999999",116,"984,73","15,20,20"
290,"244,82","38,62",9,0,"-787,1099999999994",112,"1031,93","15,20,25"
270,"196,69","41,11",9,0,"-774,7599999999995",111,"971,45","15,20,30"
266,"201,54","36,84",17,0,"-737,9499999999997",98,"939,4900000000001","15,20,35"
253,"120,55","35,18",14,0,"-748,0899999999998",89,"868,6400000000002","15,20,40"
504,"111,3","35,91",13,0,"-1071,970000000002",181,"1183,2700000000002","15,25,5"
384,"243,91","37,24",11,0,"-841,0399999999993",143,"1084,950000000001","15,25,10"
365,"209,6","37,81",9,0,"-873,8699999999999",138,"1083,4700000000005","15,25,15"
318,"375,87","38,05",11,0,"-736,2999999999997",121,"1112,1699999999996","15,25,20"
276,"105,53","39,86",12,0,"-812,1199999999995",110,"917,6500000000001","15,25,25"
274,"88,71","38,32",9,0,"-811,4300000000002",105,"900,1400000000002","15,25,30"
272,"100,37","37,5",7,0,"-776,6299999999997",102,"877,0000000000003","15,25,35"
240,"176,89","39,17",8,0,"-699,1499999999997",94,"876,04","15,25,40"
489,"213,62","34,56",16,0,"-970,8900000000002",169,"1184,5099999999998","15,30,5"
392,"291,43","37,76",11,0,"-843,1099999999992",148,"1134,5399999999997","15,30,10"
350,"309,73","36,57",12,0,"-781,6399999999995",128,"1091,3700000000001","15,30,15"
318,"182,82","37,42",11,0,"-819,6999999999994",119,"1002,5200000000001","15,30,20"
286,"133,19","39,16",9,0,"-800,0800000000002",112,"933,2700000000002","15,30,25"
271,"47,42","37,27",8,0,"-790,0499999999996",101,"837,4700000000005","15,30,30"
232,"60,85","40,95",9,0,"-738,6099999999998",95,"799,4600000000002","15,30,35"
232,"335,5","38,36",7,0,"-639,1899999999998",89,"974,6900000000002","15,30,40"
494,"139,96","35,02",12,0,"-1025,17",173,"1165,1299999999997","15,35,5"
383,"242,08","35,51",8,0,"-889,9699999999999",136,"1132,0500000000002","15,35,10"
323,"411,28","37,77",11,0,"-726,0099999999999",122,"1137,2899999999997","15,35,15"
300,"254,75",37,18,0,"-746,3599999999992",111,"1001,1100000000001","15,35,20"
286,"116,37","37,41",7,0,"-783,2699999999998",107,"899,6400000000003","15,35,25"
242,"150,58","40,5",9,0,"-702,8899999999996",98,"853,4700000000001","15,35,30"
240,"317,58","37,92",7,0,"-618,7499999999999",91,"936,3300000000002","15,35,35"
220,"395,86","40,45",7,0,"-564,7300000000001",89,"960,5900000000001","15,35,40"
500,"251,02","35,2",11,0,"-956,9599999999994",176,"1207,9800000000002","15,40,5"
364,"247,09","37,91",10,0,"-798,2100000000004",138,"1045,3000000000002","15,40,10"
330,"272,35","36,97",11,0,"-784,3799999999995",122,"1056,7299999999996","15,40,15"
294,"292,04","38,44",14,0,"-722,9499999999999",113,"1014,99","15,40,20"
268,"353,46","38,43",9,0,"-657,6799999999997",103,"1011,14","15,40,25"
244,"390,81","38,52",7,0,"-627,7899999999998",94,"1018,6000000000004","15,40,30"
224,"328,85","39,73",7,0,"-597,8400000000004",89,"926,69","15,40,35"
224,"254,2","36,61",12,0,"-641,3500000000003",82,"895,5499999999998","15,40,40"
483,"80,17","35,82",10,0,"-1023,33",173,"1103,4999999999998","15,45,5"
357,"230,45","38,94",10,0,"-807,5000000000005",139,"1037,9500000000003","15,45,10"
317,"202,45","35,33",14,0,"-791,0200000000001",112,"993,4699999999999","15,45,15"
284,"184,39","36,62",14,0,"-761,6099999999998",104,"946,0000000000006","15,45,20"
256,"301,12","38,28",7,0,"-650,4499999999994",98,"951,5700000000002","15,45,25"
238,"348,21","39,08",7,0,"-596,06",93,"944,2700000000002","15,45,30"
230,"433,05","38,26",12,0,"-557,27",88,"990,32","15,45,35"
224,"306,12","37,5",8,0,"-608,0000000000002",84,"914,1200000000002","15,45,40"
463,"268,65","34,99",9,0,"-906,2999999999997",162,"1174,9500000000003","15,50,5"
350,"413,12","39,14",9,0,"-722,9400000000003",137,"1136,060000000001","15,50,10"
316,"228,01","37,03",11,0,"-793,13",117,"1021,1400000000007","15,50,15"
268,"318,95","40,3",8,0,"-613,8399999999999",108,"932,79","15,50,20"
252,"322,13","37,7",11,0,"-637,1699999999997",95,"959,3000000000002","15,50,25"
228,"420,21","38,6",7,0,"-577,0400000000001",88,"997,2500000000001","15,50,30"
230,"305,62","36,96",8,0,"-612,61",85,"918,2299999999999","15,50,35"
222,"374,13","36,49",10,0,"-543,5200000000002",81,"917,6499999999997","15,50,40"
444,"183,33","34,91",8,0,"-911,0400000000001",155,"1094,3700000000001","15,55,5"
340,"313,31","39,12",8,0,"-763,0299999999999",133,"1076,3399999999997","15,55,10"
314,"271,12","37,58",13,0,"-755,4899999999998",118,"1026,6100000000006","15,55,15"
280,"407,99","39,29",9,0,"-634,46",110,"1042,4500000000003","15,55,20"
250,"396,48",38,7,0,"-601,63",95,"998,1100000000001","15,55,25"
236,"388,87","36,44",7,0,"-563,9300000000001",86,"952,8000000000002","15,55,30"
214,"398,66","40,65",8,0,"-552,3900000000001",87,"951,0499999999998","15,55,35"
208,"334,29","39,42",7,0,"-568,77",82,"903,0599999999997","15,55,40"
474,"238,84","34,39",8,0,"-913,1699999999997",163,"1152,0100000000002","15,60,5"
336,"383,95","41,07",8,0,"-712,5199999999999",138,"1096,4699999999996","15,60,10"
299,"312,55","33,78",11,0,"-716,4799999999998",101,"1029,0300000000009","15,60,15"
278,"370,2","38,49",9,0,"-639,0499999999996",107,"1009,25","15,60,20"
241,"424,13","38,17",8,0,"-558,9099999999997",92,"983,04","15,60,25"
231,"364,6","37,23",8,0,"-574,8700000000002",86,"939,4700000000003","15,60,30"
211,"392,18","36,97",6,0,"-545,3200000000002",78,"937,4999999999997","15,60,35"
206,"388,36","40,29",7,0,"-530,5000000000001",83,"918,8600000000004","15,60,40"
343,"-159,99","33,24",11,0,"-980,8600000000005",114,"820,8699999999997","20,25,5"
281,"145,23","37,37",7,0,"-764,4299999999998",105,"909,66","20,25,10"
242,"263,31","41,32",9,0,"-718,0599999999995",100,"981,37","20,25,15"
225,"86,07","38,22",13,0,"-767,8499999999999",86,"853,9200000000003","20,25,20"
215,"265,7","41,4",7,0,"-667,7500000000002",89,"933,4500000000003","20,25,25"
189,"122,55","43,92",6,0,"-684,1100000000002",83,"806,6600000000001","20,25,30"
169,"111,9","39,05",7,0,"-564,3399999999999",66,"676,2400000000001","20,25,35"
182,"193,46","40,11",7,0,"-606,63",73,"800,0899999999998","20,25,40"
380,"124,38","34,21",13,0,"-903,6000000000001",130,"1027,9799999999998","20,30,5"
296,"285,2","39,86",7,0,"-719,1300000000001",118,"1004,3300000000004","20,30,10"
