Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
3180,"30,58","40,91",18,0,"-413,11",1301,"443,6899999999994","5,10,5"
2867,"-3,24","39,8",12,0,"-398,44999999999993",1141,"395,20999999999975","5,10,10"
2714,"-0,33","38,91",14,0,"-386,9999999999992",1056,"386,6699999999993","5,10,15"
2552,"-10,20","37,54",15,0,"-375,5199999999991",958,"365,3199999999997","5,10,20"
2397,"3,87","37,71",17,0,"-351,8699999999998",904,"355,7399999999996","5,10,25"
2378,"-5,69","37,64",15,0,"-357,52",895,"351,83000000000004","5,10,30"
2418,"-12,83","36,02",15,0,"-361,0400000000003",871,"348,2099999999996","5,10,35"
2341,"-10,10","36,39",14,0,"-348,94000000000005",852,"338,83999999999975","5,10,40"
3517,"-21,41","38,19",15,0,"-442,0599999999995",1343,"420,6499999999992","5,15,5"
3096,"-2,50","38,02",13,0,"-411,18999999999903",1177,"408,6899999999992","5,15,10"
2793,"-14,12","36,91",17,0,"-388,75999999999914",1031,"374,6399999999994","5,15,15"
2680,"13,14","37,72",19,0,"-367,93000000000023",1011,"381,0699999999997","5,15,20"
2539,"-8,31","36,86",20,0,"-363,49999999999994",936,"355,1899999999996","5,15,25"
2440,"-6,10","36,97",13,0,"-352,66",902,"346,5599999999999","5,15,30"
2342,"-1,99","36,12",15,0,"-349,15999999999997",846,"347,17","5,15,35"
2291,"20,21","37,23",13,0,"-329,9200000000004",853,"350,1299999999996","5,15,40"
3599,"14,43","37,29",18,0,"-426,2899999999991",1342,"440,7199999999988","5,20,5"
3076,"-4,48","37,13",13,0,"-401,71999999999906",1142,"397,23999999999944","5,20,10"
2786,"12,79","37,51",19,0,"-372,01000000000033",1045,"384,79999999999967","5,20,15"
2598,"3,07","35,76",18,0,"-364,1699999999999",929,"367,23999999999927","5,20,20"
2506,"-1,25","34,72",13,0,"-354,0800000000002",870,"352,83","5,20,25"
2338,"3,66","36,01",17,0,"-340,73999999999995",842,"344,3999999999996","5,20,30"
2292,"-5,70","35,56",16,0,"-344,13000000000017",815,"338,42999999999984","5,20,35"
2212,"-3,47","34,9",15,0,"-336,3299999999999",772,"332,8599999999998","5,20,40"
3645,"-6,73","37,48",14,0,"-433,66999999999854",1366,"426,9399999999989","5,25,5"
3019,"2,60","37,03",15,0,"-392,07999999999896",1118,"394,67999999999984","5,25,10"
2697,"-5,63","36,89",20,0,"-370,09999999999957",995,"364,4699999999998","5,25,15"
2550,"-1,80","34,78",13,0,"-357,2900000000003",887,"355,49","5,25,20"
2364,"17,99","35,45",17,0,"-332,21000000000015",838,"350,19999999999976","5,25,25"
2232,"-3,33","35,13",23,0,"-336,65",784,"333,31999999999994","5,25,30"
2200,"34,05","35,91",19,0,"-319,9999999999999",790,"354,04999999999944","5,25,35"
2118,"-8,52","34,89",14,0,"-333,9499999999996",739,"325,42999999999995","5,25,40"
3658,"-18,77","37,21",14,0,"-439,76999999999873",1361,"420,99999999999886","5,30,5"
3034,"-15,46","35,5",19,0,"-399,9399999999994",1077,"384,4799999999994","5,30,10"
2624,"-9,99","35,86",13,0,"-365,88000000000005",941,"355,8899999999998","5,30,15"
2410,"8,13","36,14",17,0,"-344,4999999999998",871,"352,62999999999954","5,30,20"
2284,"5,64","35,11",23,0,"-335,2799999999998",802,"340,9199999999997","5,30,25"
2208,"10,56","35,05",18,0,"-329,84000000000003",774,"340,39999999999964","5,30,30"
2078,"-21,70","34,22",14,0,"-336,3999999999998",711,"314,7","5,30,35"
2010,"6,43","34,48",18,0,"-315,00000000000034",693,"321,42999999999995","5,30,40"
3686,"-10,22","36,16",17,0,"-432,3399999999984",1333,"422,1199999999985","5,35,5"
3000,"-23,25","34,77",18,0,"-392,86999999999955",1043,"369,61999999999983","5,35,10"
2552,"5,48","35,31",15,0,"-358,18999999999977",901,"363,66999999999996","5,35,15"
2382,"-2,26","35,56",16,0,"-346,46000000000004",847,"344,1999999999999","5,35,20"
2252,"25,46","35,44",21,0,"-327,47000000000014",798,"352,92999999999927","5,35,25"
2096,"-14,90","34,11",14,0,"-334,2799999999997",715,"319,38","5,35,30"
2022,"-21,04","33,73",15,0,"-332,15999999999946",682,"311,1199999999997","5,35,35"
1976,"-3,24","33,05",14,0,"-315,3900000000006",653,"312,1499999999998","5,35,40"
3700,"-4,77","35,76",17,0,"-429,35999999999837",1323,"424,58999999999844","5,40,5"
2941,"-5,35","35,23",17,0,"-383,92999999999944",1036,"378,5799999999997","5,40,10"
2518,"16,08","35,78",16,0,"-343,30000000000047",901,"359,37999999999954","5,40,15"
2300,"-1,94",35,15,0,"-339,89999999999975",805,"337,95999999999975","5,40,20"
2186,"-12,61","34,54",13,0,"-340,20999999999947",755,"327,6000000000001","5,40,25"
2044,"6,56","34,39",18,0,"-316,35000000000036",703,"322,90999999999997","5,40,30"
1982,"-1,97","33,15",14,0,"-315,3400000000006",657,"313,36999999999966","5,40,35"
1874,"9,42","33,4",17,0,"-303,23000000000025",626,"312,64999999999986","5,40,40"
3614,"3,19","35,89",17,0,"-420,88999999999834",1297,"424,0799999999991","5,45,5"
2934,"2,72","35,04",15,0,"-378,44",1028,"381,15999999999974","5,45,10"
2514,"17,68","35,28",14,0,"-343,8799999999999",887,"361,5599999999997","5,45,15"
2330,"1,87","33,82",21,0,"-337,9699999999995",788,"339,83999999999963","5,45,20"
2150,"7,88","34,88",13,0,"-326,6300000000001",750,"334,5099999999999","5,45,25"
2036,"-6,10","33,64",15,0,"-324,9200000000003",685,"318,81999999999977","5,45,30"
1916,"1,42","32,25",17,0,"-310,06000000000057",618,"311,4799999999999","5,45,35"
1904,"4,45","33,93",15,0,"-305,6300000000002",646,"310,07999999999987","5,45,40"
3596,"0,63","36,1",15,0,"-419,6199999999986",1298,"420,24999999999915","5,50,5"
2930,"-28,16","35,05",16,0,"-389,9899999999997",1027,"361,82999999999953","5,50,10"
2418,"-8,70","34,78",19,0,"-348,23999999999967",841,"339,5399999999999","5,50,15"
2258,"-14,43","33,08",19,0,"-340,3499999999997",747,"325,9199999999999","5,50,20"
2083,"0,98","33,89",23,0,"-322,9300000000001",706,"323,91000000000014","5,50,25"
1998,"-16,15","33,18",15,0,"-324,6100000000008",663,"308,4599999999997","5,50,30"
1904,"2,57","33,19",19,0,"-308,4800000000002",632,"311,05","5,50,35"
1794,"-19,95","33,11",18,0,"-305,1699999999999",594,"285,21999999999986","5,50,40"
3594,"6,85","35,98",20,0,"-420,0199999999987",1293,"426,86999999999955","5,55,5"
2890,"-3,50","35,09",16,0,"-374,80999999999955",1014,"371,3099999999997","5,55,10"
2478,"-20,32","33,82",19,0,"-360,1499999999993",838,"339,8299999999999","5,55,15"
2246,"-13,19","33,62",15,0,"-338,8400000000002",755,"325,64999999999986","5,55,20"
2022,"-13,82","33,04",21,0,"-327,76000000000016",668,"313,9399999999996","5,55,25"
1900,"-0,81","32,63",15,0,"-303,8000000000002",620,"302,9899999999999","5,55,30"
1866,"-11,24","32,96",14,0,"-307,5800000000001",615,"296,3400000000002","5,55,35"
1826,"-4,17","32,75",13,0,"-302,1900000000001",598,"298,02","5,55,40"
3560,"4,68","35,28",20,0,"-418,5799999999989",1256,"423,2599999999994","5,60,5"
2873,"-3,31","34,88",20,0,"-373,7099999999994",1002,"370,40000000000015","5,60,10"
2480,"14,25",35,17,0,"-342,1399999999995",868,"356,3899999999998","5,60,15"
2262,"-13,84","33,11",16,0,"-337,4199999999999",749,"323,5800000000002","5,60,20"
2088,"-5,17","33,72",19,0,"-320,43000000000035",704,"315,26000000000005","5,60,25"
1916,"-4,03","33,14",17,0,"-305,5400000000001",635,"301,50999999999976","5,60,30"
1846,"-7,29","32,56",16,0,"-304,06999999999977",601,"296,78000000000003","5,60,35"
1740,"-6,85","33,51",14,0,"-297,09999999999985",583,"290,2500000000003","5,60,40"
743,"19,19","45,36",7,0,"-210,2400000000001",337,"229,4299999999999","10,15,5"
773,"11,62","44,76",10,0,"-220,72999999999996",346,"232,3499999999999","10,15,10"
799,"19,41","44,56",11,0,"-219,43999999999994",356,"238,85","10,15,15"
809,"-5,16","42,03",9,0,"-224,92",340,"219,75999999999993","10,15,20"
732,"-47,09","41,39",10,0,"-247,26000000000013",303,"200,17","10,15,25"
