Rsi_limit,Count_deal,Max_growth_deal,Max_drawdown_deal,Max_growth_depo,Max_drawdown_depo,Avg_profit_deal,Avg_loss_deal,Winrate
(30 - 70),336,16.07,44.28,88.87,146.13,2.69,-5.79,64.88
(29 - 71),302,14.73,44.28,81.1,130.28,2.72,-6.42,67.88
(28 - 72),260,14.9,43.79,65.91,169.46,3.13,-6.77,65.38
(27 - 73),222,12.72,44.24,78.97,183.74,3.43,-7.56,64.86
(26 - 74),202,12.72,44.85,52.91,204.38,3.49,-7.69,62.87
(25 - 75),168,19.78,48.17,50.85,229.75,3.74,-8.56,61.9
(24 - 76),150,31.26,54.84,46.2,188.7,3.99,-8.56,62.67
(23 - 77),124,37.34,70.42,71.22,246.98,4.38,-10.76,62.9
(22 - 78),104,37.34,58.91,80.37,194.91,5.09,-11.1,62.5
(21 - 79),86,37.34,67.6,50.37,258.09,4.53,-11.81,56.98
(20 - 80),74,45.4,67.91,52.49,234.34,5.38,-11.44,54.05
(19 - 81),64,45.4,67.91,106.94,155.98,7.04,-13.18,57.81
(18 - 82),56,38.52,107.73,155.63,173.18,7.61,-16.97,62.5
(17 - 83),42,39.27,107.73,107.24,144.08,8.14,-17.41,59.52
(16 - 84),35,43.81,107.73,95.56,78.65,10.49,-19.27,62.86
(15 - 85),21,42.06,107.73,105.69,171.85,12.95,-22.96,52.38
(14 - 86),19,42.06,107.73,90.63,174.36,13.19,-23.06,52.63
(13 - 87),19,53.13,50.54,93.39,123.35,17.86,-17.7,52.63
(12 - 88),12,124.67,52.28,35.62,91.65,13.85,-18.58,50.0
(11 - 89),8,124.67,80.41,77.44,105.89,22.04,-35.43,62.5
(10 - 90),4,124.67,80.41,32.36,81.76,16.61,-40.88,50.0
(9 - 91),4,124.67,80.41,34.75,44.27,12.13,-44.27,75.0
(8 - 92),4,124.67,80.41,34.75,45.8,17.38,-22.9,50.0
(7 - 93),1,124.67,79.28,33.18,0.0,33.18,,100.0
(6 - 94),1,138.78,45.55,0.0,21.39,,-21.39,0.0
(5 - 95),0,138.78,45.55,0.0,0.0,,,
(4 - 96),0,138.78,45.55,0.0,0.0,,,
(3 - 97),0,138.78,45.55,0.0,0.0,,,
(2 - 98),0,138.78,45.55,0.0,0.0,,,
(1 - 99),0,138.78,45.55,0.0,0.0,,,
(0 - 100),0,138.78,45.55,0.0,0.0,,,
