Rsi_limit,Count_deal,Max_growth_deal,Max_drawdown_deal,Max_growth_depo,Max_drawdown_depo,Avg_profit_deal,Avg_loss_deal,Winrate
(30 - 70),605,16.21,43.06,93.64,119.93,2.15,-4.17,66.61
(29 - 71),549,16.21,43.06,83.64,90.18,2.33,-4.09,64.3
(28 - 72),483,16.21,43.06,69.99,109.91,2.38,-4.56,64.6
(27 - 73),427,16.21,43.06,81.39,151.68,2.48,-5.26,66.04
(26 - 74),354,13.79,44.34,51.67,215.82,2.71,-6.18,64.41
(25 - 75),312,13.79,44.34,60.04,168.16,2.91,-6.54,66.03
(24 - 76),278,13.79,43.13,53.77,183.88,3.1,-6.59,63.67
(23 - 77),242,14.54,43.37,49.15,178.26,2.95,-7.16,65.7
(22 - 78),196,19.4,43.69,54.56,229.63,3.1,-7.85,64.29
(21 - 79),178,35.18,43.69,67.85,105.18,3.87,-8.09,66.85
(20 - 80),156,35.18,56.27,60.48,119.73,4.25,-8.74,66.03
(19 - 81),122,35.18,56.27,83.34,157.81,4.61,-9.72,64.75
(18 - 82),100,35.18,60.58,105.89,186.15,5.02,-11.18,65.0
(17 - 83),86,38.73,85.74,82.55,84.24,5.82,-11.18,62.79
(16 - 84),70,37.9,85.74,60.14,168.13,5.62,-12.48,58.57
(15 - 85),58,37.9,106.27,71.15,203.61,6.15,-13.08,53.45
(14 - 86),48,37.9,106.27,53.01,130.41,7.13,-14.2,58.33
(13 - 87),28,50.5,57.91,62.64,151.13,11.08,-16.47,53.57
(12 - 88),23,50.5,57.91,55.99,132.19,12.69,-17.88,52.17
(11 - 89),19,50.5,52.19,84.08,137.34,15.75,-18.5,52.63
(10 - 90),10,126.55,45.96,76.36,74.58,19.76,-20.66,60.0
(9 - 91),6,126.55,52.15,34.15,75.85,22.52,-21.69,33.33
(8 - 92),6,126.55,52.15,34.15,66.28,15.13,-25.73,50.0
(7 - 93),4,126.55,79.36,37.49,44.24,13.1,-44.24,75.0
(6 - 94),4,126.55,81.02,35.37,35.04,17.03,-35.04,75.0
(5 - 95),0,140.61,45.2,0.0,0.0,,,
(4 - 96),0,140.61,45.2,0.0,0.0,,,
(3 - 97),0,140.61,45.2,0.0,0.0,,,
(2 - 98),0,140.61,45.2,0.0,0.0,,,
(1 - 99),0,140.61,45.2,0.0,0.0,,,
(0 - 100),0,140.61,45.2,0.0,0.0,,,
