Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
4820,"16,980000000000064","35,06",14,0,"-1422,289999999994",1690,"1439,269999999993","5,10,5"
3806,"26,449999999999992","33,71",23,0,"-1285,8599999999963",1283,"1312,3100000000006","5,10,10"
3429,"-48,91000000000018","32,87",21,0,"-1268,709999999996",1127,"1219,799999999997","5,10,15"
3221,"-80,96999999999993","31,45",15,0,"-1235,9199999999971",1013,"1154,9499999999982","5,10,20"
3071,"-113,17000000000003","31,13",14,0,"-1223,189999999996",956,"1110,019999999998","5,10,25"
2977,"-109,82000000000008","30,63",19,0,"-1200,7199999999982",912,"1090,8999999999994","5,10,30"
2927,"-64,36000000000016","30,06",13,0,"-1155,5099999999989",880,"1091,1499999999978","5,10,35"
2869,"-80,30000000000003","29,52",15,0,"-1148,2899999999975",847,"1067,989999999998","5,10,40"
4436,"8,549999999999937","33,7",25,0,"-1375,3499999999967",1495,"1383,8999999999976","5,15,5"
3433,"-47,20000000000017","32,86",21,0,"-1267,949999999996",1128,"1220,7499999999968","5,15,10"
3023,"-87,97000000000003","31,79",15,0,"-1203,4399999999953",961,"1115,4699999999996","5,15,15"
2821,"-108,29","31,19",17,0,"-1175,089999999999",880,"1066,7999999999977","5,15,20"
2631,"-88,94","30,56",17,0,"-1131,1699999999985",804,"1042,229999999999","5,15,25"
2553,"-102,5600000000001","29,65",17,0,"-1127,1299999999985",757,"1024,5699999999995","5,15,30"
2531,"-125,47000000000001","29,08",17,0,"-1133,5899999999983",736,"1008,119999999999","5,15,35"
2517,"-123,92000000000006","27,93",14,0,"-1126,6099999999988",703,"1002,6899999999989","5,15,40"
4187,"-13,380000000000132","32,65",25,0,"-1349,3299999999952",1367,"1335,949999999998","5,20,5"
3223,"-81,15999999999993","31,43",15,0,"-1236,019999999997",1013,"1154,8599999999983","5,20,10"
2821,"-108,29","31,19",17,0,"-1175,089999999999",880,"1066,7999999999977","5,20,15"
2553,"-97,70000000000022",30,18,0,"-1125,0299999999963",766,"1027,3299999999988","5,20,20"
2469,"-133,39999999999998","29,16",17,0,"-1136,3799999999978",720,"1002,9799999999992","5,20,25"
2409,"-155,11000000000035","28,56",21,0,"-1123,3799999999987",688,"968,2699999999986","5,20,30"
2307,"-119,92999999999995","28,57",21,0,"-1075,1699999999985",659,"955,2399999999989","5,20,35"
2247,"-78,86000000000014","28,53",21,0,"-1040,4700000000005",641,"961,6099999999997","5,20,40"
4067,"-33,30000000000004","32,19",25,0,"-1330,7899999999963",1309,"1297,4899999999984","5,25,5"
3071,"-113,17000000000003","31,13",14,0,"-1223,189999999996",956,"1110,019999999998","5,25,10"
2633,"-89,04000000000012","30,54",17,0,"-1131,2599999999984",804,"1042,2199999999991","5,25,15"
2471,"-133,83","29,14",17,0,"-1136,6299999999978",720,"1002,7999999999992","5,25,20"
2359,"-118,21000000000016","28,7",19,0,"-1092,1499999999983",677,"973,9399999999987","5,25,25"
2247,"-92,02000000000004","28,39",21,0,"-1044,1399999999999",638,"952,1199999999995","5,25,30"
2158,"-67,43","28,27",21,0,"-1013,0999999999998",610,"945,6699999999995","5,25,35"
2084,"-56,37000000000015","28,6",21,0,"-990,1899999999988",596,"933,8199999999986","5,25,40"
3997,"-52,91000000000021","31,07",25,0,"-1327,5799999999952",1242,"1274,669999999998","5,30,5"
2985,"-104,77999999999994","30,69",19,0,"-1198,6999999999978",916,"1093,9199999999996","5,30,10"
2553,"-102,5600000000001","29,65",17,0,"-1127,1299999999985",757,"1024,5699999999995","5,30,15"
2409,"-155,11000000000035","28,56",21,0,"-1123,3799999999987",688,"968,2699999999986","5,30,20"
2247,"-92,02000000000004","28,39",21,0,"-1044,1399999999999",638,"952,1199999999995","5,30,25"
2136,"-71,76000000000013","28,09",21,0,"-1015,3499999999998",600,"943,5899999999996","5,30,30"
2044,"-66,34999999999995","28,42",23,0,"-992,5300000000001",581,"926,1799999999996","5,30,35"
1998,"-49,040000000000035","28,48",17,0,"-964,2899999999996",569,"915,2500000000003","5,30,40"
3921,"-34,83000000000008","30,83",18,0,"-1301,2099999999957",1209,"1266,379999999999","5,35,5"
2925,"-64,12000000000015","30,05",13,0,"-1155,1799999999987",879,"1091,059999999998","5,35,10"
2531,"-124,26","29,08",17,0,"-1132,4999999999984",736,"1008,239999999999","5,35,15"
2313,"-120,97999999999992","28,49",21,0,"-1076,5199999999982",659,"955,5399999999988","5,35,20"
2158,"-67,43","28,27",21,0,"-1013,0999999999998",610,"945,6699999999995","5,35,25"
2048,"-65,80999999999993","28,42",23,0,"-992,32",582,"926,5099999999995","5,35,30"
1982,"-48,75000000000001","28,51",17,0,"-970,14",565,"921,3899999999998","5,35,35"
1860,"-31,220000000000024","28,76",13,0,"-931,4300000000001",535,"900,2099999999992","5,35,40"
3851,"-55,570000000000014","30,33",17,0,"-1293,2999999999947",1168,"1237,7299999999998","5,40,5"
2875,"-80,91000000000004","29,5",15,0,"-1149,3099999999974",848,"1068,3999999999978","5,40,10"
2513,"-123,51000000000006","27,93",14,0,"-1126,2299999999993",702,"1002,7199999999988","5,40,15"
2251,"-80,81000000000022","28,48",21,0,"-1042,1600000000003",641,"961,3499999999998","5,40,20"
2084,"-64,24000000000018","28,5",21,0,"-994,2399999999989",594,"929,9999999999986","5,40,25"
1996,"-53,510000000000076","28,41",17,0,"-966,0499999999997",567,"912,5400000000002","5,40,30"
1860,"-30,880000000000035","28,76",13,0,"-931,09",535,"900,2099999999992","5,40,35"
1798,"-17,379999999999935","28,48",16,0,"-917,0999999999979",512,"899,7199999999991","5,40,40"
3841,"-82,40999999999995","29,76",17,0,"-1306,4599999999934",1143,"1224,0500000000004","5,45,5"
2829,"-75,18999999999987","29,16",15,0,"-1135,6399999999965",825,"1060,449999999999","5,45,10"
2491,"-103,91999999999986","27,66",14,0,"-1097,1299999999985",689,"993,2099999999987","5,45,15"
