Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
4007,"-29,190000000000072","34,41",17,0,"-612,65",1379,"583,4599999999979","5,10,5"
3084,"15,48000000000008","33,95",21,0,"-522,7199999999991",1047,"538,1999999999989","5,10,10"
2780,"5,979999999999992","33,31",19,0,"-501,52999999999963",926,"507,5099999999988","5,10,15"
2571,"2,3499999999999712","32,67",23,0,"-479,5999999999988",840,"481,9499999999993","5,10,20"
2474,"14,600000000000005","31,69",15,0,"-461,75999999999897",784,"476,36","5,10,25"
2368,"23,620000000000076","31,63",16,0,"-445,48",749,"469,0999999999994","5,10,30"
2338,"10,09000000000002","30,62",14,0,"-451,9999999999996",716,"462,0899999999996","5,10,35"
2286,"18,42000000000006","30,8",14,0,"-438,82999999999987",704,"457,25","5,10,40"
3611,"-4,450000000000027","33,7",20,0,"-564,6399999999995",1217,"560,1899999999993","5,15,5"
2782,"4,3099999999999525","33,29",19,0,"-502,46999999999963",926,"506,7799999999988","5,15,10"
2417,"25,290000000000017","32,93",17,0,"-454,3199999999988",796,"479,6099999999999","5,15,15"
2227,"32,52000000000015","32,38",14,0,"-430,03",721,"462,54999999999916","5,15,20"
2109,"48,89999999999999","32,43",16,0,"-410,2899999999994",684,"459,1899999999992","5,15,25"
2018,"50,47000000000002","31,96",17,0,"-396,4999999999995",645,"446,9699999999998","5,15,30"
1968,"41,89000000000004","31,3",18,0,"-396,36999999999983",616,"438,25999999999937","5,15,35"
1910,"34,84000000000002","30,37",17,0,"-392,6799999999996",580,"427,5199999999994","5,15,40"
3417,"-0,6099999999999861","32,66",21,0,"-547,2299999999994",1116,"546,6199999999989","5,20,5"
2577,"2,229999999999979","32,67",23,0,"-480,06999999999874",842,"482,2999999999993","5,20,10"
2227,"32,52000000000015","32,38",14,0,"-430,03",721,"462,54999999999916","5,20,15"
2059,"45,85999999999996","32,25",16,0,"-405,9299999999993",664,"451,78999999999985","5,20,20"
1898,"50,11999999999996","32,09",14,0,"-386,41999999999945",609,"436,53999999999894","5,20,25"
1814,"44,96000000000003","30,87",15,0,"-384,4999999999995",560,"429,45999999999964","5,20,30"
1758,"35,450000000000045","29,86",15,0,"-380,25999999999954",525,"415,7099999999998","5,20,35"
1750,"25,529999999999976","29,09",17,0,"-383,2499999999998",509,"408,77999999999986","5,20,40"
3288,"-8,699999999999966","32,09",21,0,"-543,02",1055,"534,3199999999995","5,25,5"
2474,"14,600000000000005","31,69",15,0,"-461,75999999999897",784,"476,36","5,25,10"
2109,"48,89999999999999","32,43",16,0,"-410,2899999999994",684,"459,1899999999992","5,25,15"
1898,"50,11999999999996","32,09",14,0,"-386,41999999999945",609,"436,53999999999894","5,25,20"
1782,"43,31999999999999","30,7",15,0,"-383,86999999999927",547,"427,18999999999954","5,25,25"
